domain,domain_rating,monthly_traffic,market,source_keyword
forbes.com,94,20283252,UK,best online casino
nytimes.com,94,186627200,UK,best online casino
theguardian.com,93,29981788,UK,best online casino
bbc.co.uk,93,138203200,UK,best online casino
usatoday.com,92,22209978,UK,best online casino
businessinsider.com,92,5937638,UK,best online casino
msn.com,92,25980860,UK,best online casino
ft.com,92,3283228,UK,best online casino
dailymail.co.uk,91,16721234,UK,best online casino
telegraph.co.uk,91,4366675,UK,best online casino
independent.co.uk,91,6296762,UK,best online casino
espn.com,91,169227392,UK,best online casino
vice.com,91,1418449,UK,best online casino
cnet.com,91,10523207,UK,best online casino
mashable.com,91,11416680,UK,best online casino
axios.com,91,1167905,UK,best online casino
yell.com,91,1203145,UK,best online casino
entrepreneur.com,91,410721,UK,best online casino
sky.com,90,12562456,UK,best online casino
rollingstone.com,90,2816256,UK,best online casino
euronews.com,90,4408448,UK,best online casino
engadget.com,90,292300,UK,best online casino
coinmarketcap.com,90,21168278,UK,best online casino
today.com,90,8116566,UK,best online casino
nerdwallet.com,90,7721774,UK,best online casino
adweek.com,90,102843,UK,best online casino
venturebeat.com,90,16972,UK,best online casino
qz.com,90,221127,UK,best online casino
thesun.co.uk,89,10330769,UK,best online casino
mirror.co.uk,89,5463752,UK,best online casino
standard.co.uk,89,2990572,UK,best online casino
irishtimes.com,89,717528,UK,best online casino
cosmopolitan.com,89,10992810,UK,best online casino
metro.co.uk,88,1518582,UK,best online casino
express.co.uk,88,5041038,UK,best online casino
timesofisrael.com,87,2554588,UK,best online casino
bt.com,86,4556400,UK,best online casino
jpost.com,86,1037666,UK,best online casino
ansa.it,86,2869410,UK,best online casino
observer.com,86,56392,UK,best online casino
motortrend.com,85,3061356,UK,best online casino
simplypsychology.org,85,1851190,UK,best online casino
scotsman.com,84,378238,UK,best online casino
pragmaticplay.com,84,1034517,UK,best online casino
as.com,84,20217386,UK,best online casino
